Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
25,146400,0.0,0.286,0.5558027175526944,6,-10.579,1,0.0871,0.341,0.828,0.198,0.0615,110.278,3,25
0,211920,0.0,0.787,0.858,10,-4.152,0,0.0373,0.405,2.95e-06,0.133,0.814,105.0,4,84
0,115560,0.0,0.362,0.53,6,-8.754,1,0.0632,0.709,0.0,0.16,0.599,194.882,3,60
0,108826,0.0,0.613,0.149,2,-15.260963768191578,1,0.0477,0.867,1.13e-05,0.116,0.217,106.781,3,89
0,118840,0.0,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,80
0,197146,0.0,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,75
38,216213,0.0,0.591,0.959,6,-6.325,0,0.0503,0.183,0.00511,0.399,0.896,170.196,4,88
56,102800,0.0,0.632,0.716,10,-12.387,0,0.0646,0.581,2.48e-05,0.181,0.935,164.851,4,87
3,257519,1.0,0.532,0.969,11,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,4,81
0,125613,0.0,0.758,0.451,6,-8.001,1,0.0375,0.75,0.0,0.0503,0.737,122.912,4,96
11,126466,0.0,0.651,0.461,9,-10.779218987419185,1,0.0376,0.711,0.0,0.185,0.915,88.097,4,49
24,181477,0.0,0.56,0.96,1,-2.876,1,0.0494,9.15e-05,4.44e-06,0.589,0.615,112.061,4,47
8,158069,0.0,0.496,0.271,8,-13.018420459589642,1,0.0372,0.000386,0.567,0.134,0.101,83.0,4,97
0,189906,0.0,0.388,0.0378,0,-16.89261247783057,1,0.045,0.979,0.00021,0.0947,0.205,166.882,3,60
40,240933,0.0,0.451,0.839,11,-5.0444650597674805,0,0.0703,0.0207,5.34e-06,0.182,0.512,120.648,4,67
0,162009,0.0,0.541,0.753,0,-6.512,1,0.0511,0.0677,0.0,0.108,0.572,149.743,4,53
62,234055,0.0,0.519,0.938,6,-6.244,0,0.0377,0.00103,0.103,0.472,0.501,144.006,4,43
0,131733,0.0,0.579,0.502,8,-7.57,1,0.07512349203425729,0.733,0.0,0.281,0.836,76.783,4,7
42,297733,0.0,0.641,0.751,0,-6.939,1,0.0405,0.0188,0.517,0.304,0.463,139.921,4,81
66,537653,0.0,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,61
58,163080,0.0,0.682,0.444,7,-7.689,1,0.0289,0.257,0.0,0.115,0.91,130.704,4,80
0,188034,0.0,0.7,0.748,2,-5.53,0,0.0293,0.00265,0.0,0.234,0.929,122.95,4,13
56,139311,0.0,0.735,0.58,1,-6.478,1,0.341,0.0372,0.0,0.153,0.253,139.065,4,30
1,244826,0.0,0.637,0.745,8,-8.607,1,0.0748,0.0173,0.000554,0.0372,0.859,100.384,4,96
45,186666,0.0,0.685,0.44,0,-7.08,1,0.0508,0.415,0.0,0.439,0.834,99.056,4,27
71,234546,0.0,0.593,0.7885023838658985,9,-5.456,1,0.07512349203425729,0.0683,0.0,0.271,0.344,119.987,4,75
0,183066,0.0,0.623,0.631620451171585,6,-8.14621637774559,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,76
50,312751,0.0,0.494,0.874,8,-4.539769208818173,1,0.031,1.74e-05,0.0621,0.0873,0.485,124.064,4,40
27,45714,0.0,0.144,0.12,0,-23.212,1,0.0484,0.811,0.895,0.117,0.265,71.542,3,42
